id,seo
1521,"{""title"":""Viral oder bakteriell? Warum der Unterschied wichtig ist"",""meta_description"":""Viral oder bakteriell: Erfahre, warum die Unterscheidung bei Infektionen wichtig ist und was das für Diagnostik und Behandlung bedeutet.""}"
1522,"{""title"":""Antibiotika: wann sinnvoll, wann nicht | AustroFit"",""meta_description"":""Wann Antibiotika helfen, wann sie nicht wirken und wie Antibiotikaresistenzen entstehen – verständlich erklärt für den Alltag.""}"
1523,"{""title"":""Tests bei Infekten: Schnelltest, PCR, CRP – Orientierung"",""meta_description"":""Was Schnelltests, PCR und Laboruntersuchungen bei Infekten leisten, wie zuverlässig sie sind und wie du Ergebnisse einordnen kannst.""}"
1524,"{""title"":""Laborwerte verstehen: Referenzbereiche | AustroFit"",""meta_description"":""Was Laborwerte aussagen, warum Referenzbereiche wichtig sind und wann Abweichungen ärztlich geklärt werden sollten – verständlich erklärt.""}"
1525,"{""title"":""Cholesterin, LDL, HDL & Triglyceride verständlich erklärt"",""meta_description"":""Orientierung zu Cholesterin und Blutfetten: Bedeutung von LDL, HDL und Triglyceriden, typische Mythen und wann ärztliche Abklärung sinnvoll ist.""}"
1526,"{""title"":""Entzündungswerte verstehen: CRP, Leukozyten & Co."",""meta_description"":""Was sagen CRP, Leukozyten, BSG und IL-6 aus? Orientierung zu Entzündungswerten, verständlich erklärt und evidenzbasiert.""}"
1527,"{""title"":""Beipackzettel richtig lesen: Wirkstoffe & Hinweise verstehen"",""meta_description"":""Was steht im Beipackzettel, wofür ist ein Medikament zugelassen und wie liest man die Infos richtig? Eine ruhige Orientierung für den Alltag.""}"
1528,"{""title"":""Sichere Anwendung vor der Einnahme klären | Orientierung"",""meta_description"":""Was du vor der Einnahme von Medikamenten klären solltest – verständlich erklärt, mit klarer Orientierung und Quellen Mehr dazu auf AustroFit.""}"
1529,"{""title"":""Schmerz- & Fiebermittel: Paracetamol, Ibuprofen | AustroFit"",""meta_description"":""Was Schmerz- und Fiebermittel leisten können, wo typische Risiken liegen und wann ärztliche Abklärung sinnvoll ist Mehr dazu auf AustroFit.""}"
1530,"{""title"":""Akute vs. chronische Schmerzen: Unterschied verstehen"",""meta_description"":""Was unterscheidet akute von chronischen Schmerzen – und warum ist das wichtig? Erfahre, wie Schutzfunktion, Diagnose und Behandlung sich unterscheiden.""}"
1531,"{""title"":""Was hilft im Alltag? Wärme, Bewegung & Erholung | AustroFit"",""meta_description"":""Wärme, Bewegung oder Erholung? Erfahre, was im Alltag helfen kann, welche Mythen es gibt und wann ärztliche Hilfe sinnvoll ist.""}"
1532,"{""title"":""Schmerzen & Warnzeichen: Wann solltest du zum Arzt?"",""meta_description"":""Welche Schmerzen sind harmlos, welche Warnzeichen solltest du ernst nehmen? Eine ruhige, evidenzbasierte Orientierung Mehr dazu auf AustroFit.""}"
1533,"{""title"":""Wann zum Arzt? Warnzeichen, Dauer & Risiko | AustroFit"",""meta_description"":""Orientierung, wann ein Arztbesuch sinnvoll oder dringend ist: Warnzeichen, zeitlicher Verlauf und individuelle Risiken ruhig erklärt.""}"
1534,"{""title"":""Fieber & Infekt richtig einordnen: Hausmittel | AustroFit"",""meta_description"":""Fieber verstehen: Was steckt dahinter, was hilft im Alltag und wann ärztliche Hilfe wichtig ist Mehr dazu auf AustroFit.""}"
