id,seo.title,seo.description
1522,"Antibiotika: wann sinnvoll, wann nicht | AustroFit","Wann Antibiotika helfen, wann sie nicht wirken und wie Antibiotikaresistenzen entstehen – verständlich erklärt für den Alltag."
1524,Laborwerte verstehen: Referenzbereiche | AustroFit,"Was Laborwerte aussagen, warum Referenzbereiche wichtig sind und wann Abweichungen ärztlich geklärt werden sollten – verständlich erklärt."
1528,Sichere Anwendung vor der Einnahme klären | Orientierung,"Was du vor der Einnahme von Medikamenten klären solltest – verständlich erklärt, mit klarer Orientierung und Quellen Mehr dazu auf AustroFit."
1529,"Schmerz- & Fiebermittel: Paracetamol, Ibuprofen | AustroFit","Was Schmerz- und Fiebermittel leisten können, wo typische Risiken liegen und wann ärztliche Abklärung sinnvoll ist Mehr dazu auf AustroFit."
1531,"Was hilft im Alltag? Wärme, Bewegung & Erholung | AustroFit","Wärme, Bewegung oder Erholung? Erfahre, was im Alltag helfen kann, welche Mythen es gibt und wann ärztliche Hilfe sinnvoll ist."
1532,Schmerzen & Warnzeichen: Wann solltest du zum Arzt?,"Welche Schmerzen sind harmlos, welche Warnzeichen solltest du ernst nehmen? Eine ruhige, evidenzbasierte Orientierung Mehr dazu auf AustroFit."
1533,"Wann zum Arzt? Warnzeichen, Dauer & Risiko | AustroFit","Orientierung, wann ein Arztbesuch sinnvoll oder dringend ist: Warnzeichen, zeitlicher Verlauf und individuelle Risiken ruhig erklärt."
1534,Fieber & Infekt richtig einordnen: Hausmittel | AustroFit,"Fieber verstehen: Was steckt dahinter, was hilft im Alltag und wann ärztliche Hilfe wichtig ist Mehr dazu auf AustroFit."
1537,"Befund-Sprache verstehen: „unklar“, „auffällig“ | AustroFit","Medizinische Befunde verständlich erklärt: Bedeutung häufiger Begriffe, Referenzwerte, nächste Schritte und wann ärztlich abklären."
1538,"Kontrastmittel – Nutzen, Risiken | AustroFit","Was Kontrastmittel sind, warum sie verwendet werden und wann du besonders aufmerksam sein solltest – ruhig erklärt und evidenzbasiert."
1539,"Wie Alkohol wirkt: Körper, Gehirn, Schlaf | AustroFit","Wie Alkohol auf Körper, Gehirn und Schlaf wirkt, wie er abgebaut wird und welche Einordnung für den Alltag sinnvoll ist."
1540,"Gesundheitsrisiken: Blutdruck, Krebs, Leber | AustroFit","Ein evidenzbasierter Überblick zu Blutdruck, Krebs und Leber: verständlich, ruhig und alltagsnah erklärt Mehr dazu auf AustroFit."
1541,Alkohol reduzieren statt verbieten – Strategien | AustroFit,"Evidenzbasierte Infos zum Reduzieren von Alkohol: Strategien, Warnsignale und wann ärztliche Hilfe wichtig ist Mehr dazu auf AustroFit."
1544,Rückfall & Neustart: Stress bewältigen | AustroFit,"Was Rückfälle begünstigt, wie Stress wirkt und warum soziale Unterstützung beim Neustart hilft – ruhig erklärt und evidenzbasiert."
1545,"Bewegung wirkt: Ausdauer, Kraft & Alltagsschritte erklärt","Was Ausdauer, Krafttraining und Bewegung im Alltag bewirken – verständlich erklärt, evidenzbasiert und alltagsnah Mehr dazu auf AustroFit."
1547,"Muskelkater, Aufwärmen & Regeneration | AustroFit","Warum langsames Starten, Regeneration und ein bewusster Umgang mit Beschwerden wichtig sind – verständlich erklärt für den Alltag."
1550,"Ernährung verstehen: Energie, Makros | AustroFit","Was Energiezufuhr, ausgewogene Ernährung und Alltagstauglichkeit bedeuten – verständlich erklärt, evidenzbasiert und ohne Mythen."
1551,"Abnehmen & Gewicht: evidenzbasiert, ohne Diät-Mythen","Nachhaltig abnehmen: Was wirklich wirkt, welche Mythen nicht halten – und was das für deinen Alltag bedeutet Mehr dazu auf AustroFit."
1552,"Zucker & Getränke: Softdrinks, Fruchtsaft | AustroFit","Was Zucker, Softdrinks, Fruchtsaft und Süßstoffe mit Blutzucker, Diabetes, Karies und Mythen zu tun haben – sachlich eingeordnet."
1553,Fette & Salz: Herzgesund essen – ohne Übertreibung,"Herzgesund essen mit Fetten und Salz: Was wirklich zählt, welche Mythen es gibt und was du im Alltag beachten kannst Mehr dazu auf AustroFit."
1554,"Koffein verstehen: Wirkung, Abbau & Unterschiede | AustroFit","Warum Koffein nicht bei allen gleich wirkt, was Studien wirklich zeigen und welche Mythen verbreitet sind – verständlich und evidenzbasiert erklärt."
1555,Koffein & Schlaf/Stress – Orientierung | AustroFit,"Was Schlaf und Stress im Alltag bedeuten, warum erholsamer Schlaf wichtig ist und wann ärztliche Abklärung sinnvoll sein kann."
1557,"Rauchen & Gesundheit: Risiken, Schäden und Passivrauch","Was Rauchen und Passivrauch für die Gesundheit bedeuten – kompakt, verständlich und evidenzbasiert eingeordnet Mehr dazu auf AustroFit."
1558,"Rauchstopp: Entzug, Cravings & Strategien – Orientierung","Was beim Aufhören hilft: Entzug und Cravings verstehen, Strategien einordnen und Rückfälle nüchtern betrachten Mehr dazu auf AustroFit."
