"id","title","module_id","quiz","citations","images","seo","status","published_at"
10,"Viral vs. bakteriell: warum das wichtig ist (Orientierung)","kw_infekt_01_viral_bakteriell",,,,,"in_review",
11,"Antibiotika: wann sinnvoll, wann nicht – Resistenzen verstehen","kw_infekt_02_antibiotika",,,,,"in_review",
12,"Tests bei Infekten: Schnelltest, PCR, CRP – was sie leisten (Orientierung)","kw_infekt_03_testen_pcr",,,,,"in_review",
13,"Laborwerte lesen: Referenzbereiche, Einheiten, was Abweichungen bedeuten können","kw_lab_01_basis",,,,,"in_review",
14,"Cholesterin & Blutfette: LDL/HDL/Triglyceride einordnen (Orientierung)","kw_lab_02_cholesterin",,,,,"in_review",
15,"Entzündungswerte: CRP, Leukozyten & Co. – was sie anzeigen (Orientierung)","kw_lab_03_entzuendung",,,,,"in_review",
16,"Beipackzettel & Wirkstoffe: wie man Infos richtig liest (Orientierung)","kw_med_01_beipackzettel",,,,,"in_review",
17,"Sichere Anwendung: was man vor der Einnahme klären sollte (Orientierung)","kw_med_02_sicher_anwenden",,,,,"in_review",
18,"Schmerz- & Fiebermittel: Paracetamol/Ibuprofen/ASS – Einordnung & typische Risiken","kw_med_03_schmerzmittel_fiebermittel",,,,,"in_review",
19,"Akute vs. chronische Schmerzen: warum der Unterschied wichtig ist","kw_schmerz_01_akut_chronisch",,,,,"in_review",
20,"Was hilft im Alltag? Wärme/Kälte, Bewegung, Erholung – Orientierung","kw_schmerz_02_alltag_hilfe",,,,,"in_review",
21,"Schmerzen & Warnzeichen: wann abklären lassen? (Orientierung)","kw_schmerz_03_warnzeichen",,,,,"in_review",
22,"Wann zum Arzt? Warnzeichen, Dauer, Risiko – Orientierung","kw_symp_01_wann_arzt",,,,,"in_review",
23,"Fieber & Infekt: einordnen, Hausmittel vs. Abklärung, Alarmzeichen","kw_symp_02_fieber_infekt",,,,,"in_review",
24,"Brustschmerz, Atemnot, starke Schmerzen: Sofortzeichen richtig verstehen","kw_symp_03_schmerz_brust_atem",,,,,"in_review",
25,"MRT, CT, Röntgen: Unterschiede, wofür verwendet, Strahlung – Orientierung","kw_unters_01_mrt_ct_roentgen",,,,,"in_review",
26,"Befund-Sprache verstehen: häufige Begriffe, „unklar“, „auffällig“ – Orientierung","kw_unters_02_befund_sprache",,,,,"in_review",
27,"Kontrastmittel: wozu, Risiken, wann Vorsicht (Orientierung)","kw_unters_03_kontrastmittel",,,,,"in_review",
28,"Wie Alkohol wirkt: Körper, Gehirn, Schlaf, Abbau – Einordnung","ls_alk_01_wirkung",,,,,"in_review",
29,"Gesundheitsrisiken: Blutdruck, Krebs, Leber – was Evidenz sagt","ls_alk_02_risiko_gesundheit",,,,,"in_review",
30,"Reduzieren statt Verbot: Strategien, alkoholfreie Tage, Warnsignale","ls_alk_03_reduktion",,,,,"in_review",
31,"Ziele setzen & planen: realistisch starten, kleine Schritte, Umsetzungshilfen","ls_beh_01_ziele_planung",,,,,"in_review",
32,"Motivation & Belohnung: warum wir scheitern – und was hilft (ohne Moral)","ls_beh_02_motivation",,,,,"in_review",
33,"Rückfall & Neustart: Hürden, Umgang mit Stress, Unterstützung nutzen","ls_beh_03_rueckfall_hilfen",,,,,"in_review",
34,"Bewegung wirkt: was Ausdauer, Kraft und Alltagsschritte bringen","ls_beweg_01_grundlagen",,,,,"in_review",
35,"Sitzen & Alltag: Schritte, Pausen, Rückenfreundlichkeit – kleine Hebel","ls_beweg_02_alltag_sitzen",,,,,"in_review",
36,"Start ohne Frust: Muskelkater, Aufwärmen, Regeneration – Basics","ls_beweg_03a_muskelkater_aufwaermen",,,,,"in_review",
