id,title,description,tags,location,storage,focal_point_x,focal_point_y,filename_disk,filename_download,metadata,type,filesize,created_on,modified_by,modified_on,embed,uploaded_by,uploaded_on,folder,width,height,charset,duration,tus_id,tus_data
001bb0e0-8d78-41a2-95a2-1a064d1f14c4,Elga Und Befunde Was Gespeichert Ist Zugriff Einsicht Orientierung,"Was ist in ELGA gespeichert, wer darf zugreifen und wie kannst du deine Befunde einsehen? Ruhige Orientierung für den Alltag.",,,local,,,001bb0e0-8d78-41a2-95a2-1a064d1f14c4.webp,elga-und-befunde-was-gespeichert-ist-zugriff-einsicht-orientierung.webp,{},image/webp,27388,2026-02-16T17:31:09.242Z,,2026-02-16T17:31:09.275Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-16T17:31:09.274Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
0115c09b-cdf2-4d4a-8320-9dcc3aac1353,Diabetes Im Alltag Ernaehrung Bewegung Stress Schlaf,"Was bedeutet Diabetes im Alltag? Verständliche Infos zu Ernährung, Bewegung und hilfreicher Orientierung – evidenzbasiert und ruhig erklärt.",,,local,,,0115c09b-cdf2-4d4a-8320-9dcc3aac1353.webp,diabetes-im-alltag-ernaehrung-bewegung-stress-schlaf.webp,{},image/webp,22726,2026-02-16T17:33:18.516Z,,2026-02-16T17:33:18.526Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-16T17:33:18.525Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
01948a9d-4931-4b34-8c87-f219e3648f3d,Ausloeser Risikofaktoren Rauchen Luftschadstoffe Infekte Allergien,"Was Rauchen, Umweltfaktoren, Infekte und Allergien begünstigen können – verständlich erklärt, evidenzbasiert und alltagsnah.",,,local,,,01948a9d-4931-4b34-8c87-f219e3648f3d.webp,ausloeser-risikofaktoren-rauchen-luftschadstoffe-infekte-allergien.webp,{},image/webp,24154,2026-02-16T17:33:03.114Z,,2026-02-16T17:33:03.126Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-16T17:33:03.125Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
02ceea21-41a7-4336-8179-94cbd782e759,Diaeten Trends Low Carb Keto Intervallfasten Nutzen Risiken Ohne Hype,"Was bringen Low Carb, ketogene Diät und ähnliche Trends wirklich? Evidenzbasierter Überblick zu Nutzen, Risiken und Nachhaltigkeit.",,,local,,,02ceea21-41a7-4336-8179-94cbd782e759.webp,diaeten-trends-low-carb-keto-intervallfasten-nutzen-risiken-ohne-hype.webp,{},image/webp,23122,2026-02-15T09:00:05.907Z,,2026-02-15T09:00:05.921Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-15T09:00:05.920Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
05c8397c-082f-4916-ba00-c7020891846b,Trigger Ernaehrung Koffein Alkohol Einordnung Ohne Dogma,"Was wirklich hinter vermeintlichen Triggern steckt: evidenzbasierte Einordnung zu Ernährung, Unverträglichkeiten und Risiken – ohne Verbote oder Dogmen.",,,local,,,05c8397c-082f-4916-ba00-c7020891846b.webp,trigger-ernaehrung-koffein-alkohol-einordnung-ohne-dogma.webp,{},image/webp,26304,2026-02-16T17:34:46.262Z,,2026-02-16T17:34:46.274Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-16T17:34:46.272Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
0713fb3d-9da7-4ba8-9836-716c05f52913,Tests Und Screening Welche Tests Wann Sinnvoll Fensterzeiten,"Welche Tests es gibt, wann Screening sinnvoll ist und wie Ergebnisse eingeordnet werden – evidenzbasiert und verständlich erklärt.",,,local,,,0713fb3d-9da7-4ba8-9836-716c05f52913.webp,tests-und-screening-welche-tests-wann-sinnvoll-fensterzeiten.webp,{},image/webp,22180,2026-02-15T19:47:31.281Z,,2026-02-15T19:47:31.293Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-15T19:47:31.291Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
07a92746-2971-4c1e-a1fc-18a6c180b3e0,Schlaf Verstehen Schlafphasen Bedarf Warum Schlaf Wichtig Ist,"Wie Schlaf funktioniert, welche Phasen es gibt, wie viel Schlaf du brauchst und warum guter Schlaf so wichtig für Gesundheit und Alltag ist.",,,local,,,07a92746-2971-4c1e-a1fc-18a6c180b3e0.webp,schlaf-verstehen-schlafphasen-bedarf-warum-schlaf-wichtig-ist.webp,{},image/webp,24504,2026-02-15T08:57:25.176Z,,2026-02-15T08:57:25.186Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-15T08:57:25.185Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
086617bb-690a-4463-a779-4c2d48d87938,Herz Kreislauf Risiko Checks Blutdruck Blutfette Diabetes,"Warum Blutdruck, Blutfette und Diabetes-Risiko gemeinsam betrachtet werden sollten – verständlich erklärt und evidenzbasiert.",,,local,,,086617bb-690a-4463-a779-4c2d48d87938.webp,herz-kreislauf-risiko-checks-blutdruck-blutfette-diabetes.webp,{},image/webp,24702,2026-02-15T19:47:48.034Z,,2026-02-15T19:47:48.046Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-15T19:47:48.045Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
099c1d2a-b240-4393-8ade-9adcbcfe6216,Diabetes Mythen Nur Zucker Selbst Schuld Typ 2 Vermeidbar,"Ist Diabetes nur eine Frage von Zucker und Schuld? Erfahre, welche Mythen nicht stimmen und worauf es im Alltag ankommt.",,,local,,,099c1d2a-b240-4393-8ade-9adcbcfe6216.webp,diabetes-mythen-nur-zucker-selbst-schuld-typ-2-vermeidbar.webp,{},image/webp,30230,2026-02-15T08:59:44.092Z,,2026-02-15T08:59:44.104Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-15T08:59:44.102Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
0a8f6e40-ccca-4354-bb25-8c1dcad73d35,Mythen Desinformation Typische Muster Erkennen Fakten Einordnen Orientierung,"Lerne typische Muster von Gesundheitsmythen kennen und erfahre, wie du Informationen im Alltag besser einordnen kannst Mehr dazu auf AustroFit.",,,local,,,0a8f6e40-ccca-4354-bb25-8c1dcad73d35.webp,mythen-desinformation-typische-muster-erkennen-fakten-einordnen-orientierung.webp,{},image/webp,54538,2026-02-16T17:31:33.915Z,,2026-02-16T17:31:33.932Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-16T17:31:33.931Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
0b545e1b-a921-49b6-b310-2c7cbbd5db32,Landingpage Hero,"AustroFit – Die Gesundheits-App für Österreich. Wissen aufbauen, Punkte sammeln und fit bleiben.",,,local,,,0b545e1b-a921-49b6-b310-2c7cbbd5db32.png,landingpage-hero.png,{},image/png,995521,2026-03-10T15:16:19.319Z,,2026-03-10T15:16:20.118Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-03-10T15:16:20.116Z,547ad87a-c1a8-42c6-ab80-9a6b367864e1,1536,1024,,,,
0b684172-8d81-4111-b1f1-012e79872522,Schlafmittel Einordnen Nutzen Risiken Abhaengigkeit Orientierung,"Orientierung zu Schlafmitteln: Nutzen, Risiken, mögliche Abhängigkeit und wann ärztliche Hilfe wichtig ist Mehr dazu auf AustroFit.",,,local,,,0b684172-8d81-4111-b1f1-012e79872522.webp,schlafmittel-einordnen-nutzen-risiken-abhaengigkeit-orientierung.webp,{},image/webp,25998,2026-02-15T08:58:42.653Z,,2026-02-15T08:58:42.661Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-15T08:58:42.661Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
0b8287d8-77d3-4e48-a0ab-d2812854b3ad,Mrt Ct Roentgen Unterschiede Orientierung,"Was unterscheidet MRT, CT und Röntgen? Hier findest du eine verständliche Orientierung zu Einsatz, Nutzen und Strahlung.",,,local,,,0b8287d8-77d3-4e48-a0ab-d2812854b3ad.webp,mrt-ct-roentgen-unterschiede-orientierung.webp,{},image/webp,23586,2026-02-15T08:55:46.210Z,,2026-02-15T08:55:46.225Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-15T08:55:46.223Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
0b96dd60-cca7-4981-9c08-7803d15b07ff,Akuter Rueckenschmerz Schonung Belastung Warnzeichen Einordnen,"Akute Rückenschmerzen verständlich einordnen: Schonung oder Bewegung, typische Missverständnisse und klare Warnzeichen Mehr dazu auf AustroFit.",,,local,,,0b96dd60-cca7-4981-9c08-7803d15b07ff.webp,akuter-rueckenschmerz-schonung-belastung-warnzeichen-einordnen.webp,{},image/webp,31796,2026-02-15T16:25:43.976Z,,2026-02-15T16:25:43.988Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-15T16:25:43.986Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
0d8b269b-85e3-4392-b912-1558c3ec3995,Praevention Im Alltag Schlaf Stress Rhythmus Was Oft Wirkt,"Was Schlaf, Stress und ein stabiler Rhythmus für die Gesundheit bedeuten – kompakt, ruhig und evidenzbasiert erklärt Mehr dazu auf AustroFit.",,,local,,,0d8b269b-85e3-4392-b912-1558c3ec3995.webp,praevention-im-alltag-schlaf-stress-rhythmus-was-oft-wirkt.webp,{},image/webp,35470,2026-02-16T17:34:43.098Z,,2026-02-16T17:34:43.113Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-16T17:34:43.112Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
0fa62e72-1b52-4668-9c48-e14ec57db3a4,Indikationsimpfungen Besondere Situationen Kontaktpersonen Orientierung,"Was Indikationsimpfungen sind, warum sie in besonderen Situationen wichtig sind und wann ärztliche Abklärung sinnvoll ist.",,,local,,,0fa62e72-1b52-4668-9c48-e14ec57db3a4.webp,indikationsimpfungen-besondere-situationen-kontaktpersonen-orientierung.webp,{},image/webp,45330,2026-02-15T16:29:02.442Z,,2026-02-15T16:29:02.470Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-15T16:29:02.468Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
1027faac-13f9-414f-b20b-321f5355d118,Start Ohne Frust Muskelkater Aufwaermen Regeneration Basics,"Warum langsames Starten, Regeneration und ein bewusster Umgang mit Beschwerden wichtig sind – verständlich erklärt für den Alltag.",,,local,,,1027faac-13f9-414f-b20b-321f5355d118.webp,start-ohne-frust-muskelkater-aufwaermen-regeneration-basics.webp,{},image/webp,64960,2026-02-15T08:56:29.119Z,,2026-02-15T08:56:29.130Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-15T08:56:29.129Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
11c15de6-14c6-47be-a2aa-474b143a6ede,Rewards Hero,AustroFit Belohnungen – Punkte einlösen bei österreichischen Gesundheitspartnern.,,,local,,,11c15de6-14c6-47be-a2aa-474b143a6ede.png,rewards-hero.png,{},image/png,777150,2026-03-10T15:16:19.776Z,,2026-03-10T15:16:20.459Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-03-10T15:16:20.456Z,547ad87a-c1a8-42c6-ab80-9a6b367864e1,1536,1024,,,,
11f1171e-4f61-45c5-8c7b-7cd3809d317c,Wichtige Frueherkennungen Darm Brust Gebaermutterhals Haut Einordnung,"Was Krebsfrüherkennungen leisten können, wo Missverständnisse liegen und wann ärztliche Abklärung sinnvoll ist – evidenzbasiert erklärt.",,,local,,,11f1171e-4f61-45c5-8c7b-7cd3809d317c.webp,wichtige-frueherkennungen-darm-brust-gebaermutterhals-haut-einordnung.webp,{},image/webp,18416,2026-02-15T16:30:36.092Z,,2026-02-15T16:30:36.107Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-15T16:30:36.106Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
13b6a05b-8e5a-4f2e-8710-3812337e5db4,Insomnie Verstehen EIN Und Durchschlafprobleme Orientierung,"Was Insomnie ist, warum sie wichtig ist und wann ärztliche Hilfe sinnvoll sein kann – eine evidenzbasierte Orientierung.",,,local,,,13b6a05b-8e5a-4f2e-8710-3812337e5db4.webp,insomnie-verstehen-ein-und-durchschlafprobleme-orientierung.webp,{},image/webp,31288,2026-02-15T08:58:35.559Z,,2026-02-15T08:58:35.583Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-15T08:58:35.582Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
13f29aea-625c-41f6-9d95-d88faaf01dc3,Praevention Kondome Safer Sex Kommunikation Risiko Reduzieren,"Was Prävention im Alltag bedeutet: Kommunikation, Verhütung, Impfungen und realistische Risikoeinschätzung verständlich erklärt.",,,local,,,13f29aea-625c-41f6-9d95-d88faaf01dc3.webp,praevention-kondome-safer-sex-kommunikation-risiko-reduzieren.webp,{},image/webp,24708,2026-02-15T19:47:34.325Z,,2026-02-15T19:47:34.349Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-15T19:47:34.348Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
144bbdf8-a880-4ce8-a92c-646505a74d8b,Wohin Wann Hausarzt Facharzt Ambulanz Notfall Orientierung,"Hausarzt, Facharzt, Ambulanz oder Notfall? Diese Übersicht hilft dir, im Alltag die richtige medizinische Anlaufstelle zu wählen.",,,local,,,144bbdf8-a880-4ce8-a92c-646505a74d8b.webp,wohin-wann-hausarzt-facharzt-ambulanz-notfall-orientierung.webp,{},image/webp,40200,2026-02-15T19:48:17.453Z,,2026-02-15T19:48:17.463Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-15T19:48:17.462Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
14d3e596-acef-46d3-9e5b-ab79e905600f,Arzt Wechseln Wann Sinnvoll Wie Vorgehen Orientierung,"Orientierung zum Arztwechsel: Gründe, Vorgehen, Rechte und nächste Schritte – verständlich erklärt Mehr dazu auf AustroFit.",,,local,,,14d3e596-acef-46d3-9e5b-ab79e905600f.webp,arzt-wechseln-wann-sinnvoll-wie-vorgehen-orientierung.webp,{},image/webp,39368,2026-02-16T17:31:51.037Z,,2026-02-16T17:31:51.047Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-16T17:31:51.046Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
152f9da3-8564-4c18-9d99-9e522b22ace8,Schlafhygiene Licht Bildschirm Koffein Routine Was Wirklich Hilft,"Was hilft wirklich beim Schlafen? Erfahre, welche Rolle Licht, Gewohnheiten und Alltag für erholsamen Schlaf spielen – evidenzbasiert und verständlich.",,,local,,,152f9da3-8564-4c18-9d99-9e522b22ace8.webp,schlafhygiene-licht-bildschirm-koffein-routine-was-wirklich-hilft.webp,{},image/webp,25732,2026-02-15T08:57:28.309Z,,2026-02-15T08:57:28.326Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-15T08:57:28.324Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
17103756-f431-451a-8d53-ee5f9c20de2e,Rueckenschmerzen Verstehen Haeufige Ursachen Verlauf Einordnung,"Was Rückenschmerzen bedeuten können, wie sie häufig verlaufen und wann ärztliche Abklärung sinnvoll ist Mehr dazu auf AustroFit.",,,local,,,17103756-f431-451a-8d53-ee5f9c20de2e.webp,rueckenschmerzen-verstehen-haeufige-ursachen-verlauf-einordnung.webp,{},image/webp,21378,2026-02-16T19:53:07.031Z,,2026-02-16T19:53:07.049Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-16T19:53:07.048Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
1714e39a-b1a6-4228-8306-aaf26d5c0d53,Impfungen Verstehen Nutzen Risiken Wirksamkeit Studien,"Evidenzbasierter Überblick zu Impfungen: Nutzen für Einzelne und Gesellschaft, Wirksamkeit laut Studien, häufige Mythen und praktische Hinweise.",,,local,,,1714e39a-b1a6-4228-8306-aaf26d5c0d53.webp,impfungen-verstehen-nutzen-risiken-wirksamkeit-studien.webp,{},image/webp,44580,2026-02-15T16:27:09.025Z,,2026-02-15T16:27:09.037Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-15T16:27:09.036Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
172c0be8-b118-4449-9dec-27dad7db13bd,Richtig Putzen Fluorid Was Wirklich Zaehlt,"Erfahre evidenzbasiert, warum Fluorid beim Zähneputzen wichtig ist, welche Risiken diskutiert werden und wie du informierte Entscheidungen triffst.",,,local,,,172c0be8-b118-4449-9dec-27dad7db13bd.webp,richtig-putzen-fluorid-was-wirklich-zaehlt.webp,{},image/webp,18944,2026-02-15T19:47:58.048Z,,2026-02-15T19:47:58.060Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-15T19:47:58.059Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
17ec5be3-e93e-4323-8106-348a79692bf3,Uebergewicht Adipositas Verstehen Ursachen Einordnung,"Was Übergewicht bedeutet, welche Faktoren eine Rolle spielen und warum eine Einordnung wichtig ist – ruhig und evidenzbasiert.",,,local,,,17ec5be3-e93e-4323-8106-348a79692bf3.webp,uebergewicht-adipositas-verstehen-ursachen-einordnung.webp,{},image/webp,24380,2026-02-16T17:32:18.260Z,,2026-02-16T17:32:18.275Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-16T17:32:18.273Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
19cd65b7-d629-4daf-94be-dc3dff951d16,Isg Bandscheibe Ischias Ausstrahlende Schmerzen,"ISG, Bandscheibe oder Ischias? Erfahre, was hinter ausstrahlenden Rückenschmerzen steckt, was wichtig ist und wann ärztliche Abklärung sinnvoll ist.",,,local,,,19cd65b7-d629-4daf-94be-dc3dff951d16.webp,isg-bandscheibe-ischias-ausstrahlende-schmerzen.webp,{},image/webp,21906,2026-02-16T19:53:12.939Z,,2026-02-16T19:53:12.956Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-16T19:53:12.954Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
1cc45f3e-7adb-4f5b-a31a-c9fb5b684909,Solarien Mythen Vorbraeunen Schuetzt,"Vorbräunen im Solarium gilt als Schutz vor Sonnenbrand – doch stimmt das? Erfahre, welche Solarien-Mythen es gibt und was laut Experten wirklich zählt.",,,local,,,1cc45f3e-7adb-4f5b-a31a-c9fb5b684909.webp,solarien-mythen-vorbraeunen-schuetzt.webp,{},image/webp,23340,2026-02-15T16:26:29.293Z,,2026-02-15T16:26:29.303Z,,773dfee8-ccce-4011-85b0-16e117c7f52b,2026-02-15T16:26:29.302Z,eecc2aa1-1d82-45e0-aef7-1330bf14894c,1536,1024,,,,
