"id","title","slug","learning_module_id","image"
1521,"Viral vs. bakteriell: warum das wichtig ist (Orientierung)","viral-vs-bakteriell-warum-das-wichtig-ist-orientierung","kw_infekt_01_viral_bakteriell",
1522,"Antibiotika: wann sinnvoll, wann nicht – Resistenzen verstehen","antibiotika-wann-sinnvoll-wann-nicht-resistenzen-verstehen","kw_infekt_02_antibiotika",
1523,"Tests bei Infekten: Schnelltest, PCR, CRP – was sie leisten (Orientierung)","tests-bei-infekten-schnelltest-pcr-crp-orientierung","kw_infekt_03_testen_pcr",
1524,"Laborwerte lesen: Referenzbereiche, Einheiten, was Abweichungen bedeuten können","laborwerte-lesen-referenzbereiche-einheiten-abweichungen","kw_lab_01_basis",
1525,"Cholesterin & Blutfette: LDL/HDL/Triglyceride einordnen (Orientierung)","cholesterin-blutfette-ldl-hdl-triglyceride-einordnen","kw_lab_02_cholesterin",
1526,"Entzündungswerte: CRP, Leukozyten & Co. – was sie anzeigen (Orientierung)","entzuendungswerte-crp-leukozyten-orientierung","kw_lab_03_entzuendung",
1527,"Beipackzettel & Wirkstoffe: wie man Infos richtig liest (Orientierung)","beipackzettel-wirkstoffe-infos-richtig-lesen-orientierung","kw_med_01_beipackzettel",
1528,"Sichere Anwendung: was man vor der Einnahme klären sollte (Orientierung)","sichere-anwendung-vor-der-einnahme-klaeren-orientierung","kw_med_02_sicher_anwenden",
1529,"Schmerz- & Fiebermittel: Paracetamol/Ibuprofen/ASS – Einordnung & typische Risiken","schmerz-und-fiebermittel-paracetamol-ibuprofen-ass-einordnung-typische-risiken","kw_med_03_schmerzmittel_fiebermittel",
1530,"Akute vs. chronische Schmerzen: warum der Unterschied wichtig ist","akute-vs-chronische-schmerzen-unterschied","kw_schmerz_01_akut_chronisch",
1531,"Was hilft im Alltag? Wärme, Bewegung und Erholung – eine Orientierung","was-hilft-im-alltag-waerme-bewegung-erholung-orientierung","kw_schmerz_02_alltag_hilfe",
